,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
0,Giannis Antetokounmpo,36:05,9,16,.563,1,3,.333,2,5,.400,0,13,13,8,1,3,1,4,21,+13,202210200PHIMIL,36,5,36.083333333333336,0.15034722222222222,0.23333333333333334,0.581986143187067,1.3355765064525746,13.53125,1.351096878128459,-7.46875,757.75,0.29333582806965475
1,Jrue Holiday,35:47,2,15,.133,0,6,.000,2,2,1.000,1,3,4,8,2,0,1,1,6,-6,202210200PHIMIL,35,47,35.78333333333333,0.1490972222222222,0.06666666666666667,0.16767582673497905,-0.9054757432010978,13.418749999999998,1.3296967264447141,7.4187499999999975,214.7,0.08311343092913873
2,Grayson Allen,32:04,3,10,.300,2,6,.333,4,5,.800,0,3,3,4,0,0,3,1,12,-1,202210200PHIMIL,32,4,32.06666666666667,0.1336111111111111,0.13333333333333333,0.3742203742203742,0.21174751775859646,12.024999999999999,1.0645726250294378,0.02499999999999858,384.80000000000007,0.14896156600620675
3,Brook Lopez,30:56,6,16,.375,4,12,.333,1,2,.500,1,3,4,1,0,2,0,2,17,0,202210200PHIMIL,30,56,30.933333333333334,0.1288888888888889,0.18888888888888888,0.5495689655172413,1.16022825645845,11.6,0.9837276075575152,-5.4,525.8666666666667,0.20357048382830192
4,Jevon Carter,22:00,2,3,.667,1,2,.500,0,0,,1,3,4,1,1,0,3,2,5,+3,202210200PHIMIL,22,0,22.0,0.09166666666666666,0.05555555555555555,0.22727272727272727,-0.5831092398365791,8.25,0.3464786463082409,3.25,110.0,0.042582568245017514
6,Bobby Portis,22:42,5,10,.500,1,4,.250,0,0,,1,9,10,0,0,0,1,1,11,-2,202210200PHIMIL,22,42,22.7,0.09458333333333332,0.12222222222222222,0.4845814977973568,0.8087035539597981,8.5125,0.39641233357031075,-2.4875000000000007,249.7,0.09666242991618976
7,George Hill,20:32,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,2,2,4,+3,202210200PHIMIL,20,32,20.533333333333335,0.08555555555555555,0.044444444444444446,0.1948051948051948,-0.7587298647347325,7.699999999999999,0.24185568252104642,3.6999999999999993,82.13333333333334,0.03179498428961308
8,Wesley Matthews,20:23,3,6,.500,2,4,.500,0,0,,3,2,5,2,0,1,0,1,8,+2,202210200PHIMIL,20,23,20.383333333333333,0.08493055555555554,0.08888888888888889,0.39247751430907607,0.3105024925765097,7.643749999999998,0.23115560667917404,-0.35625000000000195,163.06666666666666,0.0631254314710987
9,Jordan Nwora,15:52,2,5,.400,2,4,.500,0,0,,0,3,3,0,0,0,0,1,6,-1,202210200PHIMIL,15,52,15.866666666666667,0.0661111111111111,0.06666666666666667,0.37815126050420167,0.23301013469013282,5.949999999999999,-0.09103556589275368,-0.05000000000000071,95.2,0.0368532772447788
10,Serge Ibaka,3:39,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1,202210200PHIMIL,3,39,3.65,0.01520833333333333,0.0,0.0,-1.8124536141236516,1.3687499999999997,-0.9624972983474517,1.3687499999999997,0.0,0.0
11,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202210200PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.222865810499674,0.0,0.0,0.0
12,MarJon Beauchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202210200PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.222865810499674,0.0,0.0,0.0
13,A.J. Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202210200PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.222865810499674,0.0,0.0,0.0
14,Sandro Mamukelashvili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202210200PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.222865810499674,0.0,0.0,0.0
0,Jrue Holiday,32:09,8,15,.533,3,4,.750,0,0,,0,5,5,10,0,3,2,2,19,+8,202210220MILMIL,32,9,32.15,0.13395833333333335,0.152,0.5909797822706065,0.38613223484439396,16.744791666666668,1.3179123018261896,-2.255208333333332,610.85,0.19119434518375544
1,Brook Lopez,28:47,3,7,.429,3,6,.500,0,0,,0,5,5,2,2,5,1,3,9,+4,202210220MILMIL,28,47,28.783333333333335,0.11993055555555558,0.072,0.31268094962362475,-0.23703797721076955,14.991319444444448,1.0222549966092724,5.991319444444448,259.05,0.08108192701948407
2,Grayson Allen,27:52,3,11,.273,2,7,.286,3,4,.750,2,3,5,2,1,0,0,2,11,+4,202210220MILMIL,27,52,27.866666666666667,0.11611111111111112,0.088,0.39473684210526316,-0.05329740082458658,14.513888888888891,0.9417542451888242,3.513888888888891,306.53333333333336,0.09594407783197266
3,Giannis Antetokounmpo,27:38,17,21,.810,2,3,.667,8,13,.615,2,10,12,3,0,0,4,2,44,+23,202210220MILMIL,27,38,27.633333333333333,0.1151388888888889,0.352,1.5922798552472859,2.628255828654931,14.392361111111112,0.9212631448272556,-29.607638888888886,1215.8666666666666,0.38056287331437955
4,Jevon Carter,25:15,0,4,.000,0,3,.000,0,0,,0,1,1,4,2,0,3,4,0,+7,202210220MILMIL,25,15,25.25,0.10520833333333335,0.0,0.0,-0.9371970538021294,13.151041666666668,0.7119611911340911,13.151041666666668,0.0,0.0
6,George Hill,23:39,3,4,.750,2,3,.667,1,2,.500,0,2,2,6,0,0,0,2,9,+20,202210220MILMIL,23,39,23.65,0.09854166666666667,0.072,0.3805496828752643,-0.08506546446225718,12.317708333333334,0.5714507886547637,3.317708333333334,212.85,0.06662145595868436
7,Bobby Portis,22:30,6,10,.600,1,1,1.000,0,0,,3,5,8,1,1,1,2,2,13,+8,202210220MILMIL,22,30,22.5,0.09375000000000001,0.104,0.5777777777777777,0.3565701419635183,11.718750000000002,0.47045893687274754,-1.2812499999999982,292.5,0.09155168366415399
8,Jordan Nwora,17:41,4,6,.667,1,1,1.000,0,0,,0,3,3,0,0,0,3,1,9,+15,202210220MILMIL,17,41,17.683333333333334,0.07368055555555557,0.072,0.5089538171536286,0.2024586721858805,9.210069444444446,0.04746407940893968,0.21006944444444642,159.15,0.049813505829573015
9,Serge Ibaka,14:51,3,5,.600,2,2,1.000,1,2,.500,1,4,5,0,0,1,0,3,9,+7,202210220MILMIL,14,51,14.85,0.061875000000000006,0.072,0.6060606060606061,0.419901403294704,7.734375000000001,-0.20135642498153572,-1.2656249999999991,133.65,0.041832076997313436
10,Wesley Matthews,12:04,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+10,202210220MILMIL,12,4,12.066666666666666,0.05027777777777778,0.0,0.0,-0.9371970538021294,6.284722222222223,-0.44578597929453195,6.284722222222223,0.0,0.0
11,MarJon Beauchamp,2:14,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2,202210220MILMIL,2,14,2.2333333333333334,0.009305555555555556,0.016,0.8955223880597015,1.0680678305648335,1.1631944444444446,-1.3093394945320638,-0.8368055555555554,4.466666666666667,0.0013980542006833772
12,A.J. Green,2:14,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2,202210220MILMIL,2,14,2.2333333333333334,0.009305555555555556,0.0,0.0,-0.9371970538021294,1.1631944444444446,-1.3093394945320638,1.1631944444444446,0.0,0.0
13,Sandro Mamukelashvili,2:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2,202210220MILMIL,2,14,2.2333333333333334,0.009305555555555556,0.0,0.0,-0.9371970538021294,1.1631944444444446,-1.3093394945320638,1.1631944444444446,0.0,0.0
14,Thanasis Antetokounmpo,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,202210220MILMIL,0,52,0.8666666666666667,0.003611111111111112,0.0,0.0,-0.9371970538021294,0.45138888888888895,-1.4293587966498225,0.45138888888888895,0.0,0.0
