,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
0,Giannis Antetokounmpo,35:18,11,23,.478,0,3,.000,14,24,.583,4,7,11,8,1,1,3,1,36,+11,202303140PHOMIL,35,18,35.3,0.14710376441172385,0.3103448275862069,1.019830028328612,2.181956361471527,17.064036671759965,1.2248892087951992,-18.935963328240035,1270.8,0.3637803615475265
1,Jrue Holiday,35:01,4,14,.286,0,5,.000,4,4,1.000,2,4,6,5,1,1,6,2,12,+20,202303140PHOMIL,35,1,35.016666666666666,0.14592304486734267,0.10344827586206896,0.3426939552594003,-0.2376094917882972,16.92707320461175,1.2042816787142205,4.927073204611752,420.2,0.12028683342954882
2,Brook Lopez,34:07,10,14,.714,1,5,.200,0,1,.000,2,8,10,1,2,1,0,2,21,+12,202303140PHOMIL,34,7,34.11666666666667,0.14217252396166133,0.1810344827586207,0.6155349291646312,0.7373152391287857,16.492012779552713,1.1388224655158166,-4.507987220447287,716.45,0.20509162734555036
3,Pat Connaughton,25:30,2,6,.333,2,6,.333,2,3,.667,0,2,2,1,1,3,0,2,8,+21,202303140PHOMIL,25,30,25.5,0.10626475899430476,0.06896551724137931,0.3137254901960784,-0.34112060525012505,12.326712043339352,0.5121111095236933,4.326712043339352,204.0,0.05839722517760105
4,Jevon Carter,23:23,3,6,.500,3,5,.600,0,0,,1,2,3,1,1,0,1,3,9,+3,202303140PHOMIL,23,23,23.383333333333333,0.09744408945686901,0.07758620689655173,0.38488952245188884,-0.08683484309011673,11.303514376996805,0.35816073774226276,2.303514376996805,210.45,0.06024360803248108
6,Joe Ingles,27:11,2,7,.286,2,7,.286,0,0,,2,1,3,7,1,0,2,4,6,+4,202303140PHOMIL,27,11,27.183333333333334,0.1132796221697458,0.05172413793103448,0.22072348252605764,-0.6734385705640041,13.140436171690512,0.6345440823577445,7.140436171690512,163.1,0.0466891540513075
7,Jae Crowder,24:35,3,4,.750,3,4,.750,2,2,1.000,1,4,5,1,0,0,0,0,11,+4,202303140PHOMIL,24,35,24.583333333333332,0.10244478399777747,0.09482758620689655,0.44745762711864406,0.13673565562616402,11.883594943742187,0.4454396886734676,0.8835949437421871,270.41666666666663,0.0774097204662236
8,Bobby Portis,19:42,4,9,.444,1,3,.333,2,3,.667,1,3,4,0,1,0,0,0,11,-16,202303140PHOMIL,19,42,19.7,0.08209473537991388,0.09482758620689655,0.5583756345177665,0.5330716859872375,9.52298930407001,0.090262846689537,-1.4770106959299891,216.7,0.06203273870581444
9,Wesley Matthews,10:36,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-4,202303140PHOMIL,10,36,10.6,0.044172801778024726,0.017241379310344827,0.18867924528301888,-0.7879401387282636,5.124045006250868,-0.571602531205433,3.124045006250868,21.2,0.006068731243946775
10,A.J. Green,4:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+5,202303140PHOMIL,4,35,4.583333333333333,0.019099874982636475,0.0,0.0,-1.4621352927929105,2.215585497985831,-1.0092094935132794,2.215585497985831,0.0,0.0
11,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202303140PHOMIL,0,0,0.0,0.0,0.0,,,0.0,-1.342566597764409,0.0,0.0,0.0
12,MarJon Beauchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202303140PHOMIL,0,0,0.0,0.0,0.0,,,0.0,-1.342566597764409,0.0,0.0,0.0
13,Meyers Leonard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202303140PHOMIL,0,0,0.0,0.0,0.0,,,0.0,-1.342566597764409,0.0,0.0,0.0
0,Bobby Portis,33:05,6,11,.545,0,3,.000,4,4,1.000,2,7,9,0,0,2,1,2,16,+5,202303160MILMIL,33,5,33.083333333333336,0.13784722222222223,0.13008130081300814,0.4836272040302267,0.0428032292621666,16.955208333333335,1.0970521518676164,0.955208333333335,529.3333333333334,0.15829661675870732
1,Khris Middleton,32:36,6,15,.400,0,5,.000,4,4,1.000,0,1,1,7,0,1,1,2,16,0,202303160MILMIL,32,36,32.6,0.13583333333333333,0.13008130081300814,0.49079754601226994,0.06660427341821304,16.7075,1.0565241105884304,0.7074999999999996,521.6,0.15598397097230807
2,Jrue Holiday,32:13,8,12,.667,2,4,.500,1,2,.500,2,5,7,11,1,1,2,2,19,+2,202303160MILMIL,32,13,32.21666666666667,0.1342361111111111,0.15447154471544716,0.5897568546301086,0.3950871937536017,16.511041666666667,1.0243811812980417,-2.4889583333333327,612.1166666666667,0.1830528918040631
3,Pat Connaughton,30:50,4,10,.400,1,6,.167,1,2,.500,2,4,6,1,3,0,0,0,10,-12,202303160MILMIL,30,50,30.833333333333332,0.1284722222222222,0.08130081300813008,0.32432432432432434,-0.48598255021122666,15.802083333333332,0.908387132119682,5.802083333333332,308.3333333333333,0.09220678243186665
4,Giannis Antetokounmpo,26:34,10,17,.588,0,0,,5,10,.500,3,6,9,5,1,0,3,5,25,-10,202303160MILMIL,26,34,26.566666666666666,0.11069444444444444,0.2032520325203252,0.9410288582183187,1.561090222496654,13.615416666666667,0.5506223539310074,-11.384583333333333,664.1666666666666,0.1986183935086425
6,Joe Ingles,27:48,4,5,.800,4,5,.800,2,2,1.000,0,5,5,0,0,0,2,1,14,-20,202303160MILMIL,27,48,27.8,0.11583333333333333,0.11382113821138211,0.5035971223021583,0.10909084954209076,14.247499999999999,0.6540387351261711,0.24749999999999872,389.2,0.11638988018102434
7,Meyers Leonard,16:19,4,4,1.000,1,1,1.000,1,2,.500,0,3,3,0,0,0,0,1,10,-4,202303160MILMIL,16,19,16.316666666666666,0.06798611111111111,0.08130081300813008,0.6128702757916241,0.47180927465855815,8.362291666666666,-0.30885162492069174,-1.6377083333333342,163.16666666666666,0.04879483243286349
8,Jevon Carter,15:01,1,5,.200,1,2,.500,0,0,,0,1,1,1,0,0,1,0,3,-18,202303160MILMIL,15,1,15.016666666666667,0.06256944444444444,0.024390243902439025,0.19977802441731407,-0.8993982549269232,7.696041666666666,-0.41785808077505354,4.696041666666666,45.050000000000004,0.013472158535855979
9,Wesley Matthews,13:19,3,5,.600,2,4,.500,0,0,,0,1,1,1,0,0,1,3,8,-18,202303160MILMIL,13,19,13.316666666666666,0.05548611111111111,0.06504065040650407,0.6007509386733417,0.4315806665089571,6.824791666666667,-0.5604049845846034,-1.175208333333333,106.53333333333333,0.03185868936781036
10,A.J. Green,7:49,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-5,202303160MILMIL,7,49,7.816666666666666,0.03256944444444444,0.0,0.0,-1.5625361627801353,4.0060416666666665,-1.0215861439684422,4.0060416666666665,0.0,0.0
11,Lindell Wigginton,2:13,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0,202303160MILMIL,2,13,2.216666666666667,0.009236111111111112,0.016260162601626018,0.9022556390977443,1.4323874210581817,1.1360416666666668,-1.4911524153410776,-0.8639583333333332,4.433333333333334,0.001325784006858191
12,MarJon Beauchamp,2:13,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,202303160MILMIL,2,13,2.216666666666667,0.009236111111111112,0.0,0.0,-1.5625361627801353,1.1360416666666668,-1.4911524153410776,1.1360416666666668,0.0,0.0
0,Giannis Antetokounmpo,36:06,9,9,1.000,1,1,1.000,3,7,.429,1,11,12,10,0,2,3,1,22,-10,202303190MILMIL,36,6,36.1,0.15041666666666667,0.1864406779661017,0.6094182825484764,0.6350631208982447,17.749166666666667,1.283362779401135,-4.250833333333333,794.2,0.230989602268596
