,TEAM,W_PCT,GAMES_WON,GAMES_LOST
0,Phoenix Suns,0.78,64.0,18.0
1,Memphis Grizzlies,0.683,56.0,26.0
2,Miami Heat,0.646,53.0,29.0
3,Golden State Warriors,0.646,53.0,29.0
4,Dallas Mavericks,0.634,52.0,30.0
5,Boston Celtics,0.622,51.0,31.0
6,Philadelphia 76ers,0.622,51.0,31.0
7,Milwaukee Bucks,0.622,51.0,31.0
8,Utah Jazz,0.598,49.0,33.0
9,Denver Nuggets,0.585,48.0,34.0
10,Toronto Raptors,0.585,48.0,34.0
11,Chicago Bulls,0.561,46.0,36.0
12,Minnesota Timberwolves,0.561,46.0,36.0
13,Brooklyn Nets,0.537,44.0,38.0
14,Cleveland Cavaliers,0.537,44.0,38.0
15,Atlanta Hawks,0.524,43.0,39.0
16,Charlotte Hornets,0.524,43.0,39.0
17,Los Angeles Clippers,0.512,42.0,40.0
18,New York Knicks,0.451,37.0,45.0
19,New Orleans Pelicans,0.439,36.0,46.0
20,Washington Wizards,0.427,35.0,47.0
21,San Antonio Spurs,0.415,34.0,48.0
22,Los Angeles Lakers,0.402,33.0,49.0
23,Sacramento Kings,0.366,30.0,52.0
24,Portland Trail Blazers,0.329,27.0,55.0
25,Indiana Pacers,0.305,25.0,57.0
26,Oklahoma City Thunder,0.293,24.0,58.0
27,Detroit Pistons,0.28,23.0,59.0
28,Orlando Magic,0.268,22.0,60.0
29,Houston Rockets,0.244,20.0,62.0
