,GAME_ID,TEAM_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101228,1610612765,Saddiq Bey,13.216666666666667,0.05506944444444444,5.0,0.04716981132075472,66.08333333333333,0.02703919148384809,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
1,22101228,1610612765,Isaiah Livers,23.466666666666665,0.09777777777777777,14.0,0.1320754716981132,328.5333333333333,0.13442535751062132,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
2,22101228,1610612765,Isaiah Stewart,13.216666666666667,0.05506944444444444,10.0,0.09433962264150944,132.16666666666666,0.05407838296769618,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
3,22101228,1610612765,Frank Jackson,22.383333333333333,0.09326388888888888,10.0,0.09433962264150944,223.83333333333331,0.09158545816597222,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
4,22101228,1610612765,Killian Hayes,10.316666666666666,0.04298611111111111,8.0,0.07547169811320754,82.53333333333333,0.03377000661488418,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
5,22101228,1610612765,Saben Lee,31.583333333333332,0.13159722222222223,11.0,0.10377358490566038,347.41666666666663,0.14215181500146618,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
6,22101228,1610612765,Luka Garza,30.583333333333332,0.12743055555555555,20.0,0.18867924528301888,611.6666666666666,0.2502744835957692,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
7,22101228,1610612765,Braxton Key,21.75,0.090625,12.0,0.11320754716981132,261.0,0.10679287229181869,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
8,22101228,1610612765,Rodney McGruder,24.533333333333335,0.10222222222222223,5.0,0.04716981132075472,122.66666666666667,0.05019128608351121,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
9,22101228,1610612765,Carsen Edwards,25.616666666666667,0.10673611111111111,5.0,0.04716981132075472,128.08333333333334,0.05240761325431844,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
10,22101228,1610612765,Jamorko Pickett,23.333333333333332,0.09722222222222222,6.0,0.05660377358490566,140.0,0.05728353303009432,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
11,22101228,1610612765,Kelly Olynyk,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-10,DET @ PHI,L,0.28,106,0.09923514660493826,0.11000355998576006,0.13405037511841744
0,22101203,1610612765,Isaiah Livers,19.383333333333333,0.0807638888888889,0.0,0.0,0.0,0.0,2022-04-08,DET vs. MIL,L,0.284,101,0.10911178626543214,0.16478776590530342,0.17889491247568753
1,22101203,1610612765,Saddiq Bey,32.56666666666667,0.13569444444444448,20.0,0.19801980198019803,651.3333333333334,0.24023064108632444,2022-04-08,DET vs. MIL,L,0.284,101,0.10911178626543214,0.16478776590530342,0.17889491247568753
2,22101203,1610612765,Isaiah Stewart,26.516666666666666,0.11048611111111112,5.0,0.04950495049504951,132.58333333333331,0.04890058213515124,2022-04-08,DET vs. MIL,L,0.284,101,0.10911178626543214,0.16478776590530342,0.17889491247568753
3,22101203,1610612765,Killian Hayes,27.333333333333332,0.1138888888888889,6.0,0.0594059405940594,164.0,0.06048796080576849,2022-04-08,DET vs. MIL,L,0.284,101,0.10911178626543214,0.16478776590530342,0.17889491247568753
