,GAME_ID,TEAM_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101221,1610612745,Garrison Mathews,31.666666666666668,0.13194444444444445,14.0,0.12280701754385964,443.33333333333337,0.11303180187989735,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
1,22101221,1610612745,Jae'Sean Tate,30.083333333333332,0.12534722222222222,5.0,0.043859649122807015,150.41666666666666,0.03835007563782231,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
2,22101221,1610612745,Alperen Sengun,34.56666666666667,0.14402777777777778,9.0,0.07894736842105263,311.1,0.07931772984549489,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
3,22101221,1610612745,Kevin Porter Jr.,40.68333333333333,0.16951388888888888,26.0,0.22807017543859648,1057.7666666666667,0.26968708038005884,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
4,22101221,1610612745,Jalen Green,39.53333333333333,0.16472222222222221,41.0,0.35964912280701755,1620.8666666666666,0.413254466030969,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
5,22101221,1610612745,Kenyon Martin Jr.,17.916666666666668,0.07465277777777778,11.0,0.09649122807017543,197.08333333333334,0.05024816004623256,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
6,22101221,1610612745,Josh Christopher,19.35,0.080625,6.0,0.05263157894736842,116.10000000000001,0.029600734281780637,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
7,22101221,1610612745,David Nwaba,12.766666666666667,0.05319444444444445,2.0,0.017543859649122806,25.533333333333335,0.006509951897744464,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
8,22101221,1610612745,Usman Garuba,13.433333333333334,0.05597222222222222,0.0,0.0,0.0,0.0,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
9,22101221,1610612745,Bruno Fernando,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-10,HOU vs. ATL,L,0.244,114,0.1277695987654321,0.2169898430286242,0.26749205435571094
