,GAME_ID,TEAM_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101222,1610612746,Amir Coffey,42.68333333333333,0.1778472222222222,35.0,0.2536231884057971,1493.9166666666665,0.354473480234747,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
1,22101222,1610612746,Robert Covington,12.8,0.05333333333333334,9.0,0.06521739130434782,115.2,0.027334419539048044,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
2,22101222,1610612746,Ivica Zubac,23.266666666666666,0.09694444444444444,12.0,0.08695652173913043,279.2,0.06624800291060949,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
3,22101222,1610612746,Luke Kennard,27.683333333333334,0.11534722222222223,20.0,0.14492753623188406,553.6666666666666,0.13137289020358447,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
4,22101222,1610612746,Terance Mann,24.366666666666667,0.10152777777777779,10.0,0.07246376811594203,243.66666666666669,0.057816726513437854,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
5,22101222,1610612746,Brandon Boston Jr.,38.28333333333333,0.15951388888888887,18.0,0.13043478260869565,689.0999999999999,0.16350823354477434,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
6,22101222,1610612746,Isaiah Hartenstein,24.733333333333334,0.10305555555555555,12.0,0.08695652173913043,296.8,0.07042409478463073,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
7,22101222,1610612746,Rodney Hood,20.183333333333334,0.08409722222222223,5.0,0.036231884057971016,100.91666666666667,0.023945299523862255,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
8,22101222,1610612746,Xavier Moon,26.0,0.10833333333333334,17.0,0.12318840579710146,442.0,0.10487685274530587,2022-04-10,LAC vs. OKC,W,0.512,138,0.12235875771604939,0.14345725687880698,0.1946560538903023
0,22101212,1610612746,Nicolas Batum,26.116666666666667,0.10881944444444444,5.0,0.042735042735042736,130.58333333333334,0.04628207551627996,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
1,22101212,1610612746,Marcus Morris Sr.,24.083333333333332,0.10034722222222221,11.0,0.09401709401709402,264.91666666666663,0.09389324701101082,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
2,22101212,1610612746,Ivica Zubac,24.533333333333335,0.10222222222222223,15.0,0.1282051282051282,368.0,0.13042861868531735,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
3,22101212,1610612746,Paul George,33.56666666666667,0.13986111111111113,23.0,0.19658119658119658,772.0333333333334,0.27362837295023873,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
4,22101212,1610612746,Reggie Jackson,22.483333333333334,0.09368055555555556,7.0,0.05982905982905983,157.38333333333333,0.05578068144227589,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
5,22101212,1610612746,Norman Powell,22.283333333333335,0.09284722222222223,20.0,0.17094017094017094,445.6666666666667,0.15795567317234538,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
6,22101212,1610612746,Terance Mann,15.633333333333333,0.06513888888888889,5.0,0.042735042735042736,78.16666666666666,0.027704267284154815,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
7,22101212,1610612746,Isaiah Hartenstein,23.466666666666665,0.09777777777777777,10.0,0.08547008547008547,234.66666666666666,0.08317187278484005,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
8,22101212,1610612746,Luke Kennard,19.966666666666665,0.08319444444444443,10.0,0.08547008547008547,199.66666666666666,0.07076697698596475,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
9,22101212,1610612746,Robert Covington,19.816666666666666,0.08256944444444445,8.0,0.06837606837606838,158.53333333333333,0.05618827087566751,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
10,22101212,1610612746,Amir Coffey,4.1,0.017083333333333332,0.0,0.0,0.0,0.0,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
11,22101212,1610612746,Rodney Hood,3.95,0.016458333333333335,3.0,0.02564102564102564,11.850000000000001,0.004199943291904921,2022-04-09,LAC vs. SAC,W,0.506,117,0.09742371720679012,0.12031558185404338,0.1467713757010878
0,22101195,1610612746,Nicolas Batum,21.866666666666667,0.09111111111111113,6.0,0.05309734513274336,131.2,0.04729206091736505,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
1,22101195,1610612746,Marcus Morris Sr.,25.733333333333334,0.10722222222222223,7.0,0.061946902654867256,180.13333333333333,0.06493046168634165,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
2,22101195,1610612746,Ivica Zubac,25.216666666666665,0.10506944444444445,13.0,0.11504424778761062,327.81666666666666,0.11816406836682587,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
3,22101195,1610612746,Paul George,28.1,0.11708333333333336,19.0,0.168141592920354,533.9,0.19244840948003963,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
4,22101195,1610612746,Reggie Jackson,29.866666666666667,0.12444444444444445,10.0,0.08849557522123894,298.6666666666667,0.10765672403953021,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
5,22101195,1610612746,Terance Mann,25.816666666666666,0.10756944444444445,10.0,0.08849557522123894,258.1666666666667,0.09305818389354481,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
6,22101195,1610612746,Isaiah Hartenstein,22.783333333333335,0.09493055555555557,10.0,0.08849557522123894,227.83333333333334,0.08212429785828002,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
7,22101195,1610612746,Norman Powell,22.8,0.09500000000000001,24.0,0.21238938053097345,547.2,0.197242497972425,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
8,22101195,1610612746,Robert Covington,22.266666666666666,0.09277777777777778,11.0,0.09734513274336283,244.93333333333334,0.0882881259199183,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
9,22101195,1610612746,Amir Coffey,8.85,0.036875000000000005,2.0,0.017699115044247787,17.7,0.006380102730467694,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
10,22101195,1610612746,Xavier Moon,6.7,0.02791666666666667,1.0,0.008849557522123894,6.7,0.0024150671352617826,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
11,22101195,1610612746,Brandon Boston Jr.,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-06,LAC vs. PHX,W,0.5,113,0.10038717206790125,0.1266348187015428,0.1311917718091866
