,GAME_ID,TEAM_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101226,1610612752,Alec Burks,39.65,0.16520833333333332,10.0,0.09523809523809523,396.5,0.09715041775904736,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
1,22101226,1610612752,Obi Toppin,40.083333333333336,0.1670138888888889,42.0,0.4,1683.5,0.4124911180261191,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
2,22101226,1610612752,Jericho Sims,39.36666666666667,0.16402777777777777,6.0,0.05714285714285714,236.2,0.057873716707911686,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
3,22101226,1610612752,Evan Fournier,32.65,0.13604166666666667,6.0,0.05714285714285714,195.89999999999998,0.047999411952074085,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
4,22101226,1610612752,Immanuel Quickley,41.733333333333334,0.1738888888888889,34.0,0.3238095238095238,1418.9333333333334,0.34766700152729113,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
5,22101226,1610612752,Feron Hunt,6.533333333333333,0.02722222222222222,0.0,0.0,0.0,0.0,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
6,22101226,1610612752,Taj Gibson,16.55,0.06895833333333333,2.0,0.01904761904761905,33.1,0.008110160978119717,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
7,22101226,1610612752,Ryan Arcidiacono,23.433333333333334,0.09763888888888889,5.0,0.047619047619047616,117.16666666666667,0.02870817304943686,2022-04-10,NYK vs. TOR,W,0.451,105,0.1458668788580247,0.2830839002267574,0.3070027146164326
0,22101204,1610612752,RJ Barrett,14.9,0.06208333333333334,14.0,0.12280701754385964,208.6,0.05897458853020586,2022-04-08,NYK @ WAS,W,0.444,114,0.12204142554012344,0.18621114188981225,0.2302264935943295
1,22101204,1610612752,Obi Toppin,38.11666666666667,0.15881944444444446,35.0,0.30701754385964913,1334.0833333333333,0.37716690147813425,2022-04-08,NYK @ WAS,W,0.444,114,0.12204142554012344,0.18621114188981225,0.2302264935943295
2,22101204,1610612752,Jericho Sims,33.65,0.14020833333333332,6.0,0.05263157894736842,201.89999999999998,0.057080390336762044,2022-04-08,NYK @ WAS,W,0.444,114,0.12204142554012344,0.18621114188981225,0.2302264935943295
