,GAME_ID,TEAM_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101230,1610612757,CJ Elleby,28.066666666666666,0.11694444444444446,12.0,0.15,336.8,0.14663028966157776,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
1,22101230,1610612757,Didi Louzada,18.233333333333334,0.07597222222222223,5.0,0.0625,91.16666666666667,0.03969060196203634,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
2,22101230,1610612757,Reggie Perry,33.45,0.13937500000000003,20.0,0.25,669.0,0.2912579090961862,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
3,22101230,1610612757,Keon Johnson,35.083333333333336,0.1461805555555556,8.0,0.1,280.6666666666667,0.1221919080513148,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
4,22101230,1610612757,Brandon Williams,32.416666666666664,0.13506944444444446,10.0,0.125,324.16666666666663,0.14113020258895917,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
5,22101230,1610612757,Ben McLemore,25.183333333333334,0.10493055555555557,13.0,0.1625,327.3833333333333,0.1425306205375283,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
6,22101230,1610612757,Keljin Blevins,22.45,0.09354166666666668,5.0,0.0625,112.25,0.04886950716897893,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
7,22101230,1610612757,Greg Brown III,24.966666666666665,0.10402777777777779,3.0,0.0375,74.89999999999999,0.032608695652173905,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
8,22101230,1610612757,Elijah Hughes,20.15,0.08395833333333334,4.0,0.05,80.6,0.03509026528124456,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
9,22101230,1610612757,Drew Eubanks,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
10,22101230,1610612757,Josh Hart,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
11,22101230,1610612757,Justise Winslow,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-10,POR vs. UTA,L,0.329,80,0.11611692708333338,0.14875,0.1677534120888469
0,22101209,1610612757,CJ Elleby,36.36666666666667,0.1515277777777778,4.0,0.05128205128205128,145.46666666666667,0.06733165158493216,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
1,22101209,1610612757,Greg Brown III,12.383333333333333,0.05159722222222222,3.0,0.038461538461538464,37.15,0.01719549167997408,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
2,22101209,1610612757,Drew Eubanks,31.9,0.13291666666666666,18.0,0.23076923076923078,574.1999999999999,0.26577796292439076,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
3,22101209,1610612757,Keon Johnson,30.216666666666665,0.12590277777777778,10.0,0.1282051282051282,302.16666666666663,0.139862837217555,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
4,22101209,1610612757,Brandon Williams,23.25,0.096875,9.0,0.11538461538461539,209.25,0.09685482191210165,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
5,22101209,1610612757,Ben McLemore,30.683333333333334,0.12784722222222222,14.0,0.1794871794871795,429.56666666666666,0.19883203344982142,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
6,22101209,1610612757,Didi Louzada,26.45,0.11020833333333332,3.0,0.038461538461538464,79.35,0.036728459348746786,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
7,22101209,1610612757,Keljin Blevins,2.85,0.011875,0.0,0.0,0.0,0.0,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
8,22101209,1610612757,Elijah Hughes,29.8,0.12416666666666668,8.0,0.10256410256410256,238.4,0.11034738133259275,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
9,22101209,1610612757,Reggie Perry,16.1,0.06708333333333334,9.0,0.11538461538461539,144.9,0.06706936054988545,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
10,22101209,1610612757,Kris Dunn,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
11,22101209,1610612757,Josh Hart,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-08,POR @ DAL,L,0.333,78,0.11707539544753086,0.1446416831032216,0.16196763252113344
0,22101200,1610612757,CJ Elleby,30.65,0.12770833333333334,17.0,0.18085106382978725,521.05,0.2292210458398099,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
1,22101200,1610612757,Greg Brown III,30.333333333333332,0.1263888888888889,4.0,0.0425531914893617,121.33333333333333,0.05337712995278176,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
2,22101200,1610612757,Drew Eubanks,26.233333333333334,0.10930555555555557,20.0,0.2127659574468085,524.6666666666667,0.23081209490571017,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
3,22101200,1610612757,Keon Johnson,31.25,0.13020833333333334,6.0,0.06382978723404255,187.5,0.0824852626330762,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
4,22101200,1610612757,Kris Dunn,20.083333333333332,0.08368055555555556,2.0,0.02127659574468085,40.166666666666664,0.017670176261841215,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
5,22101200,1610612757,Ben McLemore,22.666666666666668,0.09444444444444446,9.0,0.09574468085106383,204.0,0.08974396574478692,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
6,22101200,1610612757,Didi Louzada,18.75,0.07812500000000001,11.0,0.11702127659574468,206.25,0.09073378889638384,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
7,22101200,1610612757,Brandon Williams,16.8,0.07,5.0,0.05319148936170213,84.0,0.036953397659618144,2022-04-07,POR @ NOP,L,0.338,94,0.10089238040123459,0.13693979176097784,0.1544778456084062
