,GAME_ID,TEAM_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101229,1610612758,Harrison Barnes,13.05,0.054375,2.0,0.017241379310344827,26.1,0.008196249404646635,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
1,22101229,1610612758,Trey Lyles,18.4,0.07666666666666666,9.0,0.07758620689655173,165.6,0.05200378932603382,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
2,22101229,1610612758,Damian Jones,29.983333333333334,0.12493055555555556,19.0,0.16379310344827586,569.6833333333334,0.17889910657741168,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
3,22101229,1610612758,Justin Holiday,31.05,0.129375,19.0,0.16379310344827586,589.95,0.1852634994739955,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
4,22101229,1610612758,Davion Mitchell,39.56666666666667,0.16486111111111112,18.0,0.15517241379310345,712.2,0.22365397800725417,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
5,22101229,1610612758,Donte DiVincenzo,27.133333333333333,0.11305555555555555,19.0,0.16379310344827586,515.5333333333333,0.16189424430685168,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
6,22101229,1610612758,Chimezie Metu,29.6,0.12333333333333334,7.0,0.0603448275862069,207.20000000000002,0.06506754316639016,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
7,22101229,1610612758,Neemias Queta,18.016666666666666,0.07506944444444444,6.0,0.05172413793103448,108.1,0.03394691803227208,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
8,22101229,1610612758,Jeremy Lamb,15.483333333333333,0.06451388888888888,5.0,0.04310344827586207,77.41666666666666,0.024311352799861824,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
9,22101229,1610612758,Josh Jackson,17.716666666666665,0.07381944444444444,12.0,0.10344827586206896,212.59999999999997,0.06676331890528255,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
10,22101229,1610612758,Maurice Harkless,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-10,SAC @ PHX,W,0.366,116,0.11159858217592593,0.12975624256837098,0.15576443644208046
0,22101212,1610612758,Harrison Barnes,26.116666666666667,0.10881944444444444,3.0,0.030612244897959183,78.35,0.031115965051628273,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
1,22101212,1610612758,Trey Lyles,19.633333333333333,0.08180555555555555,15.0,0.15306122448979592,294.5,0.11695790309769659,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
2,22101212,1610612758,Damian Jones,28.65,0.119375,12.0,0.12244897959183673,343.79999999999995,0.1365369340746624,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
3,22101212,1610612758,Justin Holiday,17.833333333333332,0.07430555555555556,6.0,0.061224489795918366,107.0,0.04249404289118348,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
4,22101212,1610612758,Davion Mitchell,37.8,0.1575,22.0,0.22448979591836735,831.5999999999999,0.3302621127879269,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
5,22101212,1610612758,Donte DiVincenzo,20.283333333333335,0.0845138888888889,8.0,0.08163265306122448,162.26666666666668,0.06444267937516548,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
6,22101212,1610612758,Chimezie Metu,20.733333333333334,0.08638888888888889,9.0,0.09183673469387756,186.60000000000002,0.07410643367752186,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
7,22101212,1610612758,Jeremy Lamb,26.816666666666666,0.1117361111111111,6.0,0.061224489795918366,160.9,0.06389992057188244,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
8,22101212,1610612758,Josh Jackson,22.783333333333335,0.09493055555555556,7.0,0.07142857142857142,159.48333333333335,0.06333730473921102,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
9,22101212,1610612758,Neemias Queta,19.35,0.080625,10.0,0.10204081632653061,193.5,0.07684670373312152,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
10,22101212,1610612758,Maurice Harkless,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-09,SAC @ LAC,L,0.358,98,0.10571457368827161,0.1278633902540608,0.16781334790181418
0,22101188,1610612758,Harrison Barnes,29.783333333333335,0.12409722222222222,12.0,0.11009174311926606,357.40000000000003,0.12471067170689157,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
1,22101188,1610612758,Trey Lyles,19.35,0.080625,8.0,0.07339449541284404,154.8,0.05401570223902298,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
2,22101188,1610612758,Damian Jones,28.683333333333334,0.11951388888888888,22.0,0.2018348623853211,631.0333333333333,0.22019191625472523,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
3,22101188,1610612758,Justin Holiday,17.966666666666665,0.0748611111111111,6.0,0.05504587155963303,107.79999999999998,0.037615585926141316,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
4,22101188,1610612758,Davion Mitchell,39.95,0.16645833333333332,15.0,0.13761467889908258,599.25,0.20910148298924108,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
5,22101188,1610612758,Neemias Queta,10.883333333333333,0.04534722222222221,5.0,0.045871559633027525,54.416666666666664,0.018988077929630708,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
6,22101188,1610612758,Donte DiVincenzo,29.116666666666667,0.12131944444444444,6.0,0.05504587155963303,174.7,0.06095958127362606,2022-04-05,SAC vs. NOP,L,0.363,109,0.11216459297839504,0.12179109502567124,0.14571720530145255
